pid,trial,task,group,peak_N
054,SJ_pre1,SJ,Hamstrings,3769.0226589500003
054,SJ_pre1,SJ,Adductors,4484.55562725
054,SJ_pre1,SJ,Triceps surae,11575.38439154
054,SJ_pre1,SJ,Iliopsoas,2051.39068496
054,SJ_pre1,SJ,Rectus femoris,2479.50688732
054,SJ_pre1,SJ,Tibialis anterior,1001.42219189
054,SJ_pre1,SJ,Piriformis,1249.480562
054,SJ_pre2,SJ,Vasti,6301.52244527
054,SJ_pre2,SJ,Gluteus maximus,1559.83396257
054,SJ_pre2,SJ,Gluteus medius,2049.61338717
054,SJ_pre2,SJ,Gluteus minimus,1134.05330013
054,SJ_pre2,SJ,Hamstrings,4110.648072309999
054,SJ_pre2,SJ,Adductors,3128.4092325499996
054,SJ_pre2,SJ,Triceps surae,4766.046322390001
054,SJ_pre2,SJ,Iliopsoas,2607.4575758700003
054,SJ_pre2,SJ,Rectus femoris,2280.41033033
054,SJ_pre2,SJ,Tibialis anterior,1656.51212368
054,SJ_pre2,SJ,Piriformis,816.36127052
054,SJ_pre3,SJ,Vasti,12015.90226366
054,SJ_pre3,SJ,Gluteus maximus,3682.8374727399996
054,SJ_pre3,SJ,Gluteus medius,3334.3425955499997
054,SJ_pre3,SJ,Gluteus minimus,1387.5379684999998
054,SJ_pre3,SJ,Hamstrings,4158.18082587
054,SJ_pre3,SJ,Adductors,4187.13698279
054,SJ_pre3,SJ,Triceps surae,12394.539475450001
054,SJ_pre3,SJ,Iliopsoas,1768.0402136
054,SJ_pre3,SJ,Rectus femoris,2616.29459357
054,SJ_pre3,SJ,Tibialis anterior,959.94405647
054,SJ_pre3,SJ,Piriformis,1316.11567419
054,SJ_pre4,SJ,Vasti,11796.805936399998
054,SJ_pre4,SJ,Gluteus maximus,3876.86782524
054,SJ_pre4,SJ,Gluteus medius,3221.12106948
054,SJ_pre4,SJ,Gluteus minimus,1428.08565289
054,SJ_pre4,SJ,Hamstrings,4857.2419422
054,SJ_pre4,SJ,Adductors,4437.48553113
054,SJ_pre4,SJ,Triceps surae,10695.67133771
054,SJ_pre4,SJ,Iliopsoas,1651.1664265
054,SJ_pre4,SJ,Rectus femoris,2223.15279442
054,SJ_pre4,SJ,Tibialis anterior,866.89529711
054,SJ_pre4,SJ,Piriformis,1189.0723334
054,SJ_pre5,SJ,Vasti,11797.432607080002
054,SJ_pre5,SJ,Gluteus maximus,3328.9059260699996
054,SJ_pre5,SJ,Gluteus medius,3210.36060162
054,SJ_pre5,SJ,Gluteus minimus,1402.24587078
054,SJ_pre5,SJ,Hamstrings,3729.85413902
054,SJ_pre5,SJ,Adductors,4380.36919639
054,SJ_pre5,SJ,Triceps surae,10287.79601136
054,SJ_pre5,SJ,Iliopsoas,1580.42094313
054,SJ_pre5,SJ,Rectus femoris,2231.15418472
054,SJ_pre5,SJ,Tibialis anterior,926.09028348
054,SJ_pre5,SJ,Piriformis,1087.74338923
073,SJ_pre1,SJ,Vasti,6174.59911004
073,SJ_pre1,SJ,Gluteus maximus,1591.24843205
073,SJ_pre1,SJ,Gluteus medius,2655.9072900799997
073,SJ_pre1,SJ,Gluteus minimus,1349.23851108
073,SJ_pre1,SJ,Hamstrings,4194.06517151
073,SJ_pre1,SJ,Adductors,3188.2950701600003
073,SJ_pre1,SJ,Triceps surae,7998.497221289999
073,SJ_pre1,SJ,Iliopsoas,1981.80337952
073,SJ_pre1,SJ,Rectus femoris,2641.21841335
073,SJ_pre1,SJ,Tibialis anterior,1667.37211223
073,SJ_pre1,SJ,Piriformis,783.35405601
073,SJ_pre2,SJ,Vasti,6007.42935491
073,SJ_pre2,SJ,Gluteus maximus,1757.36948024
073,SJ_pre2,SJ,Gluteus medius,2464.65521171
073,SJ_pre2,SJ,Gluteus minimus,1321.6789119300001
073,SJ_pre2,SJ,Hamstrings,4227.57736551
073,SJ_pre2,SJ,Adductors,3280.6263591800002
073,SJ_pre2,SJ,Triceps surae,4164.1695217100005
073,SJ_pre2,SJ,Iliopsoas,2499.70179899
073,SJ_pre2,SJ,Rectus femoris,2615.7283704
073,SJ_pre2,SJ,Tibialis anterior,1651.77169963
073,SJ_pre2,SJ,Piriformis,807.9846746
073,SJ_pre3,SJ,Vasti,5966.56306696
073,SJ_pre3,SJ,Gluteus maximus,1831.936323
073,SJ_pre3,SJ,Gluteus medius,2574.9085716199997
073,SJ_pre3,SJ,Gluteus minimus,1378.3364973
073,SJ_pre3,SJ,Hamstrings,4332.91245311
073,SJ_pre3,SJ,Adductors,3241.52636309
073,SJ_pre3,SJ,Triceps surae,4129.17466424
073,SJ_pre3,SJ,Iliopsoas,2834.9699092600003
073,SJ_pre3,SJ,Rectus femoris,2540.55643755
073,SJ_pre3,SJ,Tibialis anterior,1653.77851034
073,SJ_pre3,SJ,Piriformis,925.56887126
073,SJ_pre4,SJ,Vasti,5909.707564169999
073,SJ_pre4,SJ,Gluteus maximus,1684.35624286
073,SJ_pre4,SJ,Gluteus medius,2596.8080146800003
073,SJ_pre4,SJ,Gluteus minimus,1354.73109238
073,SJ_pre4,SJ,Hamstrings,4622.02375419
073,SJ_pre4,SJ,Adductors,3395.3565498400003
073,SJ_pre4,SJ,Triceps surae,5872.0937468600005
073,SJ_pre4,SJ,Iliopsoas,3051.06115506
073,SJ_pre4,SJ,Rectus femoris,2545.68516571
073,SJ_pre4,SJ,Tibialis anterior,1657.16218308
073,SJ_pre4,SJ,Piriformis,876.76764837
073,SJ_pre5,SJ,Vasti,6118.6193577
073,SJ_pre5,SJ,Gluteus maximus,1898.8872576899998
073,SJ_pre5,SJ,Gluteus medius,2479.485091
073,SJ_pre5,SJ,Gluteus minimus,1350.35108741
073,SJ_pre5,SJ,Hamstrings,4332.41296906
073,SJ_pre5,SJ,Adductors,3685.02806625
073,SJ_pre5,SJ,Triceps surae,6016.88510647
073,SJ_pre5,SJ,Iliopsoas,2428.03841633
073,SJ_pre5,SJ,Rectus femoris,2655.73439674
073,SJ_pre5,SJ,Tibialis anterior,1662.50149031
073,SJ_pre5,SJ,Piriformis,839.13258257
073,SLS_back_pre1,SLS back,Vasti,11032.64907442
073,SLS_back_pre1,SLS back,Gluteus maximus,3383.96784449
073,SLS_back_pre1,SLS back,Gluteus medius,2826.64014826
073,SLS_back_pre1,SLS back,Gluteus minimus,1280.64712644
073,SLS_back_pre1,SLS back,Hamstrings,4581.92367571
073,SLS_back_pre1,SLS back,Adductors,3851.10366082
073,SLS_back_pre1,SLS back,Triceps surae,10910.73103495
073,SLS_back_pre1,SLS back,Iliopsoas,2743.62933727
